"Gene","GENENAME","AIS_vs_Normal","MIA_vs_Normal","LUAD_vs_Normal","MIA_vs_AIS","LUAD_vs_AIS","LUAD_vs_MIA","Pattern"
"CSF3R","colony stimulating factor 3 receptor",0.259158758,0.100019871,-1.266508093,-0.159138887,-1.525666851,-1.366527964,"p12"
"CTSG","cathepsin G",0.321165974,0.1220541,-1.179809683,-0.199111874,-1.500975657,-1.301863783,"p12"
"DSCAM","DS cell adhesion molecule",-0.164845158,-0.345417404,-1.470308651,-0.180572246,-1.305463493,-1.124891248,"p12"
"DUOX1","dual oxidase 1",0.498625573,0.206619103,-1.352041839,-0.292006469,-1.850667412,-1.558660943,"p12"
"DUOXA1","dual oxidase maturation factor 1",0.431666628,0.380966552,-0.992062345,-0.050700075,-1.423728973,-1.373028897,"p12"
"EPHA3","EPH receptor A3",0.652099761,1.334566542,0.309495053,0.682466782,-0.342604708,-1.025071489,"p12"
"FAM110D","family with sequence similarity 110 member D",-0.951709612,-0.800084275,-2.072085378,0.151625336,-1.120375767,-1.272001103,"p12"
"FAM189A2","family with sequence similarity 189 member A2",-0.179541,-0.707289901,-1.903468539,-0.527748902,-1.723927539,-1.196178637,"p12"
"FBLN5","fibulin 5",-0.84636412,-0.554029231,-1.565192174,0.292334889,-0.718828055,-1.011162943,"p12"
"FBXO40","F-box protein 40",-0.522064862,-0.372328375,-1.5401304,0.149736486,-1.018065538,-1.167802025,"p12"
"FOSB","FosB proto-oncogene, AP-1 transcription factor subunit",-0.578096373,-1.49941982,-2.893943868,-0.921323447,-2.315847494,-1.394524047,"p12"
"FPR2","formyl peptide receptor 2",-0.793176648,-0.664404291,-2.29205952,0.128772357,-1.498882872,-1.627655229,"p12"
"GATA5","GATA binding protein 5",-0.802093875,-0.418886031,-1.419268962,0.383207844,-0.617175087,-1.000382931,"p12"
"GFRA1","GDNF family receptor alpha 1",-0.542199381,-0.051964341,-1.208739565,0.49023504,-0.666540184,-1.156775225,"p12"
"GKN2","gastrokine 2",0.289193077,-0.204502186,-2.713070116,-0.493695263,-3.002263194,-2.508567931,"p12"
"GLT1D1","glycosyltransferase 1 domain containing 1",0.836532942,0.652494381,-0.728468,-0.184038561,-1.565000942,-1.380962381,"p12"
"GPC5","glypican 5",0.533603676,-0.005693778,-1.019804504,-0.539297454,-1.55340818,-1.014110726,"p12"
"GUCY1A2","guanylate cyclase 1 soluble subunit alpha 2",-0.825315282,-0.519908904,-1.558676075,0.305406378,-0.733360793,-1.038767171,"p12"
"GYPE","glycophorin E (MNS blood group)",-0.026232636,-0.872084632,-1.936038016,-0.845851996,-1.90980538,-1.063953384,"p12"
"HDC","histidine decarboxylase",0.099057182,0.034587888,-1.050571065,-0.064469294,-1.149628247,-1.085158953,"p12"
"HEPN1","hepatocellular carcinoma, down-regulated 1",0.044254735,-0.691460458,-1.887843154,-0.735715193,-1.932097889,-1.196382697,"p12"
"HPSE2","heparanase 2 (inactive)",-0.430915078,0.030695465,-1.590634315,0.461610544,-1.159719237,-1.62132978,"p12"
"HSPB3","heat shock protein family B (small) member 3",-0.232479421,-0.054305534,-1.142268115,0.178173887,-0.909788694,-1.087962581,"p12"
"IGFN1","immunoglobulin like and fibronectin type III domain containing 1",0.522888824,1.011440162,-1.158682306,0.488551338,-1.681571131,-2.170122468,"p12"
"IL1RL1","interleukin 1 receptor like 1",-0.596413895,-0.505023561,-1.736042482,0.091390335,-1.139628586,-1.231018921,"p12"
"ITGA10","integrin subunit alpha 10",0.152217053,0.317353696,-0.794049909,0.165136643,-0.946266962,-1.111403605,"p12"
"JPH4","junctophilin 4",-0.815398183,-0.784977669,-1.786959568,0.030420513,-0.971561386,-1.001981899,"p12"
"KLF15","Kruppel like factor 15",-0.150742484,-0.358298998,-1.392269367,-0.207556514,-1.241526884,-1.03397037,"p12"
"LAMP3","lysosomal associated membrane protein 3",0.00235897,-0.450836191,-1.493901149,-0.453195162,-1.496260119,-1.043064957,"p12"
"LCN10","lipocalin 10",0.279798271,0.118107876,-1.97343113,-0.161690395,-2.253229401,-2.091539005,"p12"
"LCN6","lipocalin 6",0.290662023,0.042297434,-2.498496488,-0.248364589,-2.789158511,-2.540793922,"p12"
"LGI3","leucine rich repeat LGI family member 3",-0.541084618,-0.827923036,-2.747568566,-0.286838418,-2.206483948,-1.91964553,"p12"
"LINC00908","long intergenic non-protein coding RNA 908",-0.786695246,-0.3387115,-1.421229015,0.447983746,-0.634533769,-1.082517515,"p12"
"LIPN","lipase family member N",0.135354336,-0.429648757,-2.081599339,-0.565003093,-2.216953674,-1.651950581,"p12"
"LPL","lipoprotein lipase",-0.503003289,-0.352422654,-1.720959338,0.150580635,-1.217956049,-1.368536685,"p12"
"LRRTM4","leucine rich repeat transmembrane neuronal 4",-0.973803349,-1.295837442,-2.560077161,-0.322034094,-1.586273813,-1.264239719,"p12"
"MAS1L","MAS1 proto-oncogene like, G protein-coupled receptor",-0.150528053,0.058377879,-1.527961333,0.208905932,-1.37743328,-1.586339212,"p12"
"MOGAT1","monoacylglycerol O-acyltransferase 1",-0.946885007,-1.755506376,-2.80032418,-0.80862137,-1.853439174,-1.044817804,"p12"
"MRGPRX2","MAS related GPR family member X2",0.008988783,-0.323663146,-1.766590763,-0.332651929,-1.775579547,-1.442927617,"p12"
"MT1M","metallothionein 1M",-0.965184904,-0.744069204,-2.291422567,0.2211157,-1.326237663,-1.547353363,"p12"
"MUSK","muscle associated receptor tyrosine kinase",-0.23846079,-0.099415101,-1.198048809,0.139045689,-0.959588019,-1.098633707,"p12"
"MYL1","myosin light chain 1",-0.939848512,-0.859854608,-2.58785038,0.079993905,-1.648001868,-1.727995773,"p12"
"MYL3","myosin light chain 3",-0.650790399,-0.381982283,-1.527034073,0.268808116,-0.876243674,-1.145051791,"p12"
"NECAB1","N-terminal EF-hand calcium binding protein 1",-0.257293273,-0.474567009,-2.172538098,-0.217273737,-1.915244825,-1.697971089,"p12"
"NPAP1","nuclear pore associated protein 1",-0.604326962,-0.051480251,-1.441488467,0.552846711,-0.837161505,-1.390008216,"p12"
"NPR1","natriuretic peptide receptor 1",0.239544513,0.031547479,-1.812878011,-0.207997034,-2.052422524,-1.84442549,"p12"
"NR4A1","nuclear receptor subfamily 4 group A member 1",-0.671250986,-0.763040342,-1.870417212,-0.091789356,-1.199166226,-1.10737687,"p12"
"NR4A3","nuclear receptor subfamily 4 group A member 3",-0.294872692,-1.085919057,-2.19986298,-0.791046364,-1.904990288,-1.113943924,"p12"
"NRG1","neuregulin 1",-0.302895848,-0.165270778,-1.330640465,0.13762507,-1.027744616,-1.165369686,"p12"
"OCA2","OCA2 melanosomal transmembrane protein",-0.053495185,0.115004522,-0.930596131,0.168499707,-0.877100946,-1.045600653,"p12"
"ODAM","odontogenic, ameloblast associated",-0.234694362,-0.592967048,-1.930122943,-0.358272687,-1.695428582,-1.337155895,"p12"
"OR2B11","olfactory receptor family 2 subfamily B member 11",-0.235664681,-0.924553537,-2.055405279,-0.688888855,-1.819740597,-1.130851742,"p12"
"OR52K2","olfactory receptor family 52 subfamily K member 2",-0.090376164,0.121827939,-1.094489101,0.212204103,-1.004112937,-1.21631704,"p12"
"OR5P2","olfactory receptor family 5 subfamily P member 2",-0.178533467,-0.710378212,-2.25050565,-0.531844744,-2.071972183,-1.540127438,"p12"
"OR5P3","olfactory receptor family 5 subfamily P member 3",-0.517850769,-0.828575527,-2.645304556,-0.310724758,-2.127453786,-1.816729029,"p12"
"OVCH1","ovochymase 1",-0.303904908,0.404709061,-2.329057214,0.708613969,-2.025152306,-2.733766275,"p12"
"PCDH11X","protocadherin 11 X-linked",-0.633323019,-0.154106197,-1.559000961,0.479216821,-0.925677943,-1.404894764,"p12"
"PCDH15","protocadherin related 15",-0.605279915,-0.458871826,-1.804696639,0.146408088,-1.199416724,-1.345824813,"p12"
"PDE2A","phosphodiesterase 2A",-0.888452805,-0.907143425,-1.962885628,-0.018690621,-1.074432824,-1.055742203,"p12"
"PEBP4","phosphatidylethanolamine binding protein 4",0.51454371,0.234908518,-1.039290667,-0.279635192,-1.553834377,-1.274199186,"p12"
"PLA2G4F","phospholipase A2 group IVF",0.16427532,-0.280925811,-1.441880199,-0.445201131,-1.606155519,-1.160954389,"p12"
"PPARGC1A","PPARG coactivator 1 alpha",-0.420717604,-0.631845391,-1.759147946,-0.211127787,-1.338430343,-1.127302556,"p12"
"PRKG2","protein kinase cGMP-dependent 2",0.069789861,-0.908281046,-2.609544431,-0.978070907,-2.679334292,-1.701263385,"p12"
"PTCH1","patched 1",-0.322975182,0.397990463,-0.634205391,0.720965646,-0.311230209,-1.032195855,"p12"
"PTGDR2","prostaglandin D2 receptor 2",0.057116314,0.895743612,-0.602296136,0.838627298,-0.65941245,-1.498039748,"p12"
"PTH1R","parathyroid hormone 1 receptor",-0.783548918,-0.526029267,-1.831233777,0.257519651,-1.047684859,-1.30520451,"p12"
"QRFP","pyroglutamylated RFamide peptide",-0.985375352,-0.921846175,-2.075632405,0.063529177,-1.090257053,-1.15378623,"p12"
"RAB44","RAB44, member RAS oncogene family",-0.065963722,-0.23122607,-1.240463844,-0.165262347,-1.174500122,-1.009237774,"p12"
"RAPGEF3","Rap guanine nucleotide exchange factor 3",-0.571434325,-0.23891563,-1.294370302,0.332518695,-0.722935977,-1.055454672,"p12"
"RASGRF1","Ras protein specific guanine nucleotide releasing factor 1",0.539323078,0.38843996,-0.727608573,-0.150883119,-1.266931651,-1.116048532,"p12"
"RASSF9","Ras association domain family member 9",-0.048390769,0.28929404,-0.89844291,0.337684809,-0.850052141,-1.18773695,"p12"
"RBMXL3","RBMX like 3",0.057009045,0.101996499,-0.901774123,0.044987455,-0.958783168,-1.003770623,"p12"
"RD3","retinal degeneration 3, GUCY2D regulator",-0.719703053,-0.651468317,-1.762980535,0.068234736,-1.043277482,-1.111512218,"p12"
"RETN","resistin",-0.484807533,-0.66004697,-1.721796314,-0.175239438,-1.236988781,-1.061749343,"p12"
"RGN","regucalcin",0.134617806,0.570105072,-0.625141559,0.435487266,-0.759759365,-1.195246631,"p12"
"ROBO2","roundabout guidance receptor 2",0.122793364,0.419116408,-0.728731797,0.296323043,-0.851525162,-1.147848205,"p12"
"RSPO2","R-spondin 2",-0.739984466,-0.711651417,-1.814072753,0.028333049,-1.074088288,-1.102421336,"p12"
"RUNDC3B","RUN domain containing 3B",-0.999861242,-0.59475477,-1.670793323,0.405106472,-0.670932081,-1.076038553,"p12"
"RXRG","retinoid X receptor gamma",-0.524257816,-0.590206492,-1.869305097,-0.065948676,-1.345047281,-1.279098605,"p12"
"SCN1A","sodium voltage-gated channel alpha subunit 1",0.687426893,0.246494894,-0.917817751,-0.440931999,-1.605244644,-1.164312645,"p12"
"SCN2B","sodium voltage-gated channel beta subunit 2",-0.699500847,-0.772257189,-1.845093996,-0.072756342,-1.145593149,-1.072836807,"p12"
"SFRP5","secreted frizzled related protein 5",0.257570986,-0.514161525,-1.786219598,-0.77173251,-2.043790583,-1.272058073,"p12"
"SFTPA1","surfactant protein A1",-0.859621407,-1.225817953,-2.236275831,-0.366196546,-1.376654424,-1.010457877,"p12"
"SFTPC","surfactant protein C",0.060047762,-0.164685457,-2.680531106,-0.224733219,-2.740578867,-2.515845648,"p12"
"SIGLEC11","sialic acid binding Ig like lectin 11",-0.794165527,-0.411864814,-1.56164342,0.382300713,-0.767477893,-1.149778606,"p12"
"SLC11A1","solute carrier family 11 member 1",-0.850353273,-0.662930314,-1.751522166,0.187422959,-0.901168892,-1.088591851,"p12"
"SLC16A12","solute carrier family 16 member 12",-0.558383317,-0.200739416,-1.86997857,0.357643901,-1.311595253,-1.669239154,"p12"
"SLC19A3","solute carrier family 19 member 3",-0.997027854,-0.680877488,-2.54744314,0.316150366,-1.550415286,-1.866565652,"p12"
"SLC24A4","solute carrier family 24 member 4",0.061806602,0.251391807,-0.87817018,0.189585204,-0.939976783,-1.129561987,"p12"
"SLC46A2","solute carrier family 46 member 2",0.032332076,0.608223216,-0.761288222,0.575891141,-0.793620298,-1.369511438,"p12"
"SLC51B","solute carrier family 51 beta subunit",-0.975263618,-0.815524373,-2.392583407,0.159739245,-1.417319789,-1.577059035,"p12"
"SLC6A13","solute carrier family 6 member 13",0.960306297,0.073184347,-1.51762137,-0.887121951,-2.477927668,-1.590805717,"p12"
"SLPI","secretory leukocyte peptidase inhibitor",0.818988323,0.511355866,-0.513675022,-0.307632457,-1.332663346,-1.025030888,"p12"
"SNTG2","syntrophin gamma 2",-0.923119003,-0.558973508,-1.802925582,0.364145495,-0.879806579,-1.243952074,"p12"
"SNX22","sorting nexin 22",0.254323928,-0.0587768,-1.073344259,-0.313100728,-1.327668186,-1.014567459,"p12"
"SOCS2","suppressor of cytokine signaling 2",0.316135715,-0.377052202,-1.574646211,-0.693187917,-1.890781927,-1.19759401,"p12"
"SYT15","synaptotagmin 15",0.076002447,-0.883000855,-2.112545808,-0.959003302,-2.188548254,-1.229544952,"p12"
"TMEM132C","transmembrane protein 132C",0.175454733,-0.098876291,-2.235496966,-0.274331023,-2.410951699,-2.136620676,"p12"
"TMEM132D","transmembrane protein 132D",0.984082792,1.715999272,0.161797386,0.73191648,-0.822285406,-1.554201886,"p12"
"TMEM88","transmembrane protein 88",-0.981468726,-1.113220118,-2.168378753,-0.131751393,-1.186910028,-1.055158635,"p12"
"TNNC1","troponin C1, slow skeletal and cardiac type",-0.818119928,-0.993703245,-2.955393297,-0.175583316,-2.137273369,-1.961690052,"p12"
"TPSG1","tryptase gamma 1",-0.352292826,-0.679943147,-1.732087241,-0.327650321,-1.379794415,-1.052144094,"p12"
"TRIM71","tripartite motif containing 71",0.110997404,-0.160067435,-1.170539479,-0.271064839,-1.281536882,-1.010472044,"p12"
"TSPAN7","tetraspanin 7",-0.283119138,-0.644860346,-1.699661442,-0.361741208,-1.416542304,-1.054801096,"p12"
"UBE2Q2L","ubiquitin conjugating enzyme E2 Q2 like",-0.630957148,-0.472877184,-1.519168551,0.158079965,-0.888211403,-1.046291368,"p12"
"WFDC1","WAP four-disulfide core domain 1",-0.807151596,-0.355837873,-1.396993186,0.451313723,-0.589841591,-1.041155313,"p12"
"ZBTB16","zinc finger and BTB domain containing 16",-0.721736024,-0.713742216,-1.896142162,0.007993809,-1.174406138,-1.182399947,"p12"
"ZFP36","ZFP36 ring finger protein",0.249697374,-0.248197593,-1.382270773,-0.497894967,-1.631968147,-1.13407318,"p12"
"ZNF536","zinc finger protein 536",-0.651973827,-0.498559238,-1.928700308,0.153414589,-1.276726481,-1.43014107,"p12"
"ADAMDEC1","ADAM like decysin 1",1.069141949,0.960674244,2.999519513,-0.108467705,1.930377564,2.038845269,"p2"
"ALPK2","alpha kinase 2",1.611993598,1.251287466,2.487528616,-0.360706132,0.875535018,1.23624115,"p2"
"AMY1C","amylase alpha 1C (salivary)",2.54164656,2.897652456,4.119007836,0.356005897,1.577361276,1.22135538,"p2"
"ANKRD34B","ankyrin repeat domain 34B",3.414592521,3.983201338,5.410516213,0.568608817,1.995923692,1.427314875,"p2"
"ARL14","ADP ribosylation factor like GTPase 14",2.130161638,2.396401846,4.188573223,0.266240209,2.058411585,1.792171377,"p2"
"ATP10B","ATPase phospholipid transporting 10B (putative)",1.296076217,2.081278295,5.186134871,0.785202078,3.890058654,3.104856575,"p2"
"ATP6V1C2","ATPase H+ transporting V1 subunit C2",1.29852141,1.342605627,2.430793211,0.044084217,1.132271802,1.088187585,"p2"
"AURKB","aurora kinase B",1.064864818,0.388867029,1.694449586,-0.67599779,0.629584768,1.305582557,"p2"
"C15orf48","chromosome 15 open reading frame 48",1.065133458,0.850025827,1.930530344,-0.215107631,0.865396886,1.080504517,"p2"
"CATSPERB","cation channel sperm associated auxiliary subunit beta",1.129446104,0.931762512,2.313960829,-0.197683592,1.184514725,1.382198317,"p2"
"CDH17","cadherin 17",2.06898065,1.643036337,2.97307365,-0.425944313,0.904093,1.330037313,"p2"
"CELF5","CUGBP Elav-like family member 5",2.363516419,2.530000889,3.704128229,0.16648447,1.34061181,1.17412734,"p2"
"CES3","carboxylesterase 3",1.335606022,1.470392494,2.821989239,0.134786472,1.486383217,1.351596745,"p2"
"CILP2","cartilage intermediate layer protein 2",1.066960317,1.693894413,3.619094152,0.626934096,2.552133835,1.925199739,"p2"
"CLDN3","claudin 3",1.493386113,1.621029004,2.647993822,0.12764289,1.154607709,1.026964819,"p2"
"CNTD2","cyclin N-terminal domain containing 2",1.080720052,0.114318578,1.955275623,-0.966401474,0.874555572,1.840957045,"p2"
"COL10A1","collagen type X alpha 1 chain",1.790879422,2.780508278,3.927011456,0.989628855,2.136132033,1.146503178,"p2"
"COL22A1","collagen type XXII alpha 1 chain",1.285370301,1.447746204,3.868515184,0.162375903,2.583144883,2.42076898,"p2"
"CP","ceruloplasmin",3.289483038,2.409214081,4.319435232,-0.880268957,1.029952194,1.910221152,"p2"
"CRABP2","cellular retinoic acid binding protein 2",1.592992022,1.808946044,3.999468666,0.215954022,2.406476644,2.190522622,"p2"
"CT83","cancer/testis antigen 83",1.653083142,1.502359721,4.091082929,-0.150723422,2.437999786,2.588723208,"p2"
"DDX4","DEAD-box helicase 4",1.363748271,1.893042949,3.081484393,0.529294679,1.717736123,1.188441444,"p2"
"DDX53","DEAD-box helicase 53",2.215382551,1.691788145,2.765283487,-0.523594406,0.549900936,1.073495341,"p2"
"DEPDC1","DEP domain containing 1",1.0928756,0.834984945,2.608269453,-0.257890655,1.515393852,1.773284508,"p2"
"DNAJB13","DnaJ heat shock protein family (Hsp40) member B13",1.126669787,1.006937613,2.075387109,-0.119732174,0.948717322,1.068449496,"p2"
"DPP10","dipeptidyl peptidase like 10",2.297875709,1.743822039,3.107894566,-0.55405367,0.810018857,1.364072527,"p2"
"DRGX","dorsal root ganglia homeobox",2.076313003,1.147604298,3.049209464,-0.928708706,0.972896461,1.901605167,"p2"
"EPHA10","EPH receptor A10",2.565174283,2.926099715,4.044857279,0.360925433,1.479682996,1.118757563,"p2"
"ERVV-1","endogenous retrovirus group V member 1, envelope",2.489054463,2.398265678,3.828706224,-0.090788785,1.339651761,1.430440546,"p2"
"FADS6","fatty acid desaturase 6",3.446519417,3.243873036,5.273180498,-0.20264638,1.826661081,2.029307461,"p2"
"FEZF1","FEZ family zinc finger 1",3.22881869,4.064931408,5.20432897,0.836112718,1.975510279,1.139397561,"p2"
"FGF11","fibroblast growth factor 11",1.695352425,1.12130208,2.62933892,-0.574050344,0.933986495,1.50803684,"p2"
"FZD9","frizzled class receptor 9",1.204065963,0.666997592,2.14234957,-0.537068371,0.938283607,1.475351978,"p2"
"GCNT3","glucosaminyl (N-acetyl) transferase 3, mucin type",3.255982071,3.253965918,5.23423025,-0.002016153,1.978248179,1.980264332,"p2"
"GJB2","gap junction protein beta 2",2.022254798,2.64983336,4.471512697,0.627578562,2.449257899,1.821679337,"p2"
"GLB1L3","galactosidase beta 1 like 3",5.203854786,5.282640344,6.33452085,0.078785558,1.130666065,1.051880507,"p2"
"GRHL3","grainyhead like transcription factor 3",1.140254135,1.723774661,2.972783328,0.583520527,1.832529193,1.249008667,"p2"
"GRIP1","glutamate receptor interacting protein 1",1.168417984,0.522616417,1.701167088,-0.645801567,0.532749104,1.178550671,"p2"
"GSDMC","gasdermin C",3.680671785,2.952333266,4.416680992,-0.728338519,0.736009207,1.464347727,"p2"
"HIST1H1T","histone cluster 1 H1 family member t",1.401520777,0.593596632,2.578532713,-0.807924145,1.177011936,1.984936081,"p2"
"HMGB3","high mobility group box 3",2.311602939,1.652294788,2.81156818,-0.659308151,0.499965241,1.159273392,"p2"
"HMMR","hyaluronan mediated motility receptor",1.10675276,0.612921301,1.961516785,-0.493831459,0.854764025,1.348595484,"p2"
"HNF4G","hepatocyte nuclear factor 4 gamma",2.17801432,2.424245099,4.572762023,0.246230779,2.394747703,2.148516924,"p2"
"HTR3A","5-hydroxytryptamine receptor 3A",1.818611109,2.204272128,5.228181348,0.385661019,3.409570239,3.02390922,"p2"
"IGFBPL1","insulin like growth factor binding protein like 1",1.808479109,1.527320114,2.849738996,-0.281158995,1.041259887,1.322418882,"p2"
"IGFL2","IGF like family member 2",1.394597163,2.109025444,4.743729418,0.714428282,3.349132255,2.634703974,"p2"
"IL22RA2","interleukin 22 receptor subunit alpha 2",5.001661321,4.259624737,5.562495551,-0.742036584,0.56083423,1.302870814,"p2"
"KIF26B","kinesin family member 26B",1.311734363,1.896233538,3.246688778,0.584499175,1.934954415,1.35045524,"p2"
"KRTAP4-1","keratin associated protein 4-1",1.669391282,1.421463768,5.550746785,-0.247927513,3.881355504,4.129283017,"p2"
"KRTAP5-1","keratin associated protein 5-1",1.044441088,0.814421358,1.886854282,-0.23001973,0.842413194,1.072432924,"p2"
"KRTAP5-2","keratin associated protein 5-2",1.176247513,0.444762854,1.986589975,-0.731484659,0.810342462,1.541827121,"p2"
"LCN2","lipocalin 2",2.280403033,2.204075988,3.222629907,-0.076327045,0.942226874,1.018553919,"p2"
"LGSN","lengsin, lens protein with glutamine synthetase domain",1.54303869,2.368906305,4.727892152,0.825867615,3.184853462,2.358985847,"p2"
"LY6D","lymphocyte antigen 6 family member D",2.430333522,2.913683386,4.535671802,0.483349864,2.105338279,1.621988415,"p2"
"MMP3","matrix metallopeptidase 3",1.103129209,1.800976321,2.901690306,0.697847111,1.798561097,1.100713986,"p2"
"MOGAT2","monoacylglycerol O-acyltransferase 2",1.374158054,2.045277198,3.395695559,0.671119144,2.021537506,1.350418361,"p2"
"MTNR1A","melatonin receptor 1A",2.853197827,2.746631663,4.269673511,-0.106566164,1.416475684,1.523041847,"p2"
"MYBL2","MYB proto-oncogene like 2",1.160886672,0.74512561,2.71188891,-0.415761061,1.551002238,1.966763299,"p2"
"MYEOV","myeloma overexpressed",2.795972254,2.180661064,3.698284583,-0.61531119,0.902312329,1.517623519,"p2"
"NCCRP1","non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)",1.812633006,1.76593977,2.846710637,-0.046693235,1.034077631,1.080770867,"p2"
"NPBWR1","neuropeptides B and W receptor 1",2.112625673,1.147288805,3.258668618,-0.965336868,1.146042945,2.111379813,"p2"
"NXPH1","neurexophilin 1",1.033267881,0.079071571,4.084559197,-0.95419631,3.051291315,4.005487626,"p2"
"OCIAD2","OCIA domain containing 2",1.207146876,1.229770745,2.232821507,0.022623868,1.02567463,1.003050762,"p2"
