Mixture	Group	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
J9C	LUAD	0.197683683	0.517605947	0	0.038587196	0.047238314	0	0	0.012223716	0.016826214	0	0	0.094740359	0	0	0.003498288	0.026091074	0	0.002849354	0.039154714	0	0	0.003501141	0	0.618723094	0.783619016
J9N	NL	0.047531039	0	0.064029177	0.015806752	0.047417236	0.108441312	0	0	0	0	0.105219873	0	0	0.202325383	0.031774223	0.095743446	0	0.005581782	0.245167381	0	0	0.030962395	0.003	0.485200721	0.888082713
J11S	AIS	0.12096749	0	0.016802319	0.080797123	0.018968874	0.091476365	0	0	0	0.044250771	0.045010814	0.047104999	0	0.154183009	0.079806394	0.106952446	0	0	0.096433707	0.035765556	0	0.061480134	0.016	0.369148298	0.927054287
J11N	NL	0.116217707	0	0.056186989	0.121824597	0	0.100041774	0	0	0	0.046703402	0.016126372	0.047242746	0	0.148358271	0.063113293	0.120807371	0	0	0.130219095	0.014064696	0	0.019093687	0.005	0.427665813	0.903347175
J13M	MIA	0.058687999	0	0	0	0.022463496	0.128801689	0	0	0	0	0.007630708	0.016989379	0	0.081865363	0.011564155	0.391309257	0	0.070105673	0.185318215	0	0	0.025264067	0.009	0.396241228	0.91957145
J13N	NL	0.080331204	0	0.007925911	0	0.109239732	0.060080274	0	0	0	0	0.052369218	0.006904645	0	0.132795694	0.007118787	0.259184785	0	0	0.251945488	0.002251638	0	0.029852625	0.004	0.445113997	0.902843264
J14M	MIA	0.064419719	0	0.008746599	0.022124602	0	0.105040655	0	0.043295788	0.021060154	0.026743304	0	0.154496932	0	0.050377911	0.034568991	0.190908119	0	0	0.220944273	0.02665694	0	0.030616013	0.004	0.44986979	0.890625801
J14N	NL	0.092261264	0	0.000772074	0.04128117	0	0.068667918	0	0	0	0.021167051	0	0.039286969	0	0.277778109	0.051207488	0.11719407	0	0	0.229048134	0.029147134	0	0.032188617	0	0.558505164	0.858809934
J15M	MIA	0.231838106	0.033057584	0.009747046	0.064711129	0	0.144632808	0	0.010605766	0.0006133	0	0	0.080812771	0	0.036664198	0.072758803	0.173146265	0	0.021522422	0.062189057	0.009566992	0	0.048133754	0.209	0.147674239	1.023576155
J15N	NL	0.084847879	0	0.05691695	0.051315574	0	0.132362717	0	0	0	0.001097625	0.031691922	0.032200187	0	0.12655324	0.056273257	0.267079231	0	0.005154394	0	0.108076325	0.016275466	0.030155234	0.068	0.244956294	0.97354707
J16M	MIA	0.005757122	0.005267202	0	0.037844605	0	0.09282323	0	0.007723522	0	0	0	0.047550558	0	0.108291503	0.08858118	0.239073926	0	0.000698251	0.255213974	0.053522097	0	0.057652829	0	0.656472169	0.795781508
J16N	NL	0.08645385	0	0	0.059834661	0	0.08573689	0	0	0	0	0	0.043532963	0	0.160377287	0.057940642	0.112688307	0	0	0.323753966	0.05205267	0	0.017628763	0	0.655185977	0.792896832
J17H	AAH	0.129648822	0.145341846	0	0.006865852	0.085643916	0.108849394	0	0.06400299	0	0.00495564	0	0.040386571	0	0.061654852	0.023013075	0.12444763	0	0.013005001	0.160960323	0.007378637	0	0.023845451	0.005	0.41515662	0.908435424
J17N	NL	0.081859024	0	0	0.075452507	0.033108231	0.081869318	0	0	0	0	0.122830195	0.001638147	0	0.268428138	0.013633178	0.100327405	0	0	0.158063818	0.004078223	0	0.058711816	0.044	0.28280465	0.959471146
J18M	MIA	0.039188261	0.002357252	0.042901116	0.042633053	0.004221196	0.115087821	0	0	0	0.017313865	0	0.040350341	0	0.100593004	0.105199451	0.225066974	0.01911253	0	0.231949769	0	0	0.014025367	0.004	0.438590783	0.899805688
J18N	NL	0.071033536	0	0.00091761	0.037120784	0	0.161422236	0	0	0	0	0.053497964	0.030514387	0	0.113581458	0.01999633	0.156058591	0	0.035619441	0.302576539	0	0	0.017661125	0.002	0.524887941	0.863693745
J19H	AAH	0.117753336	0	0.027794426	0.018611098	0.018333704	0.085336484	0	0.012021132	0	0	0	0.075829491	0	0.065067677	0.024125045	0.17867781	0	0.045549066	0.310890188	0	0	0.020010543	0	0.556129584	0.84938368
J19S	AIS	0.214622545	0	0.008098818	0.035657962	0.007302536	0.115106166	0	0	0	0	0	0.095250001	0	0.102905836	0.030107845	0.193658507	0	0.000669993	0.187992494	0	0	0.008627298	0.009	0.389144348	0.919212439
J19N	NL	0.088371307	0	0.025155025	0.057731911	0.011949193	0.068053053	0	0	0	0	0.027668445	0.066548691	0	0.117660762	0.028342901	0.147823219	0	0.054050627	0.274994743	0	0	0.031650124	0.001	0.528733347	0.863410639
J20S	AIS	0.064063905	0	0.032896543	0.022308217	0	0.151175355	0	0	0.001901782	0.001834624	0	0.058706649	0	0.103587919	0.046583899	0.282073715	0	0	0.199890716	0	0	0.034976675	0.004	0.456313	0.897171013
J20N	NL	0.094020072	0	0.012123342	0.080375552	0	0.100865813	0	0	0	0.01896894	0.022134314	0.00940594	0	0.222672427	0.032312085	0.169167972	0	0.008481004	0.141178414	0.063776608	0	0.024517518	0.005	0.416103755	0.912197012
J21H	AAH	0.078723822	0	0.000518431	0.084675463	0.011664116	0.060890984	0	0	0	0	0.020375961	0.037288812	0	0.087147527	0.04261727	0.224473768	0	0.044366848	0.253408936	0	0	0.053848063	0.02	0.348476372	0.935363449
J21M	MIA	0.054681106	0	0.000758075	0.052854624	0	0.112606136	0	0	0.008188164	0	0	0.042398806	0	0.036171325	0.040323616	0.391767492	0.043716675	0	0.185809957	0.009711435	0	0.02101259	0.016	0.365350316	0.929422003
J21N	NL	0.041435634	0	0	0.066133782	0.020732456	0.08676547	0	0	0	0	0.059180914	0.015272829	0	0.146237503	0.035165835	0.185259229	0	0.024670151	0.263232473	0.001113211	0	0.054800512	0.016	0.369955285	0.928082315
J22M	MIA	0.051094165	0	0.011684377	0.02802113	0	0.1655439	0	0	0	0.012471427	0.009555216	0	0	0	0.11659423	0.351970109	0.005208288	0.005763427	0.21496064	0	0	0.027133091	0.044	0.28448414	0.96213897
J22N	NL	0.081762127	0	0.031261787	0.067310891	0.055167798	0.034943165	0.0025192	0	0	0	0.113799497	0	0	0.121483899	0.046000275	0.148329099	0	0.020724598	0.144838026	0.034765994	0	0.097093645	0.01	0.387147143	0.920762681
J23M	MIA	0.115109912	0	0.049620843	0.033935436	0.040325979	0.108928628	0	0	0.006578653	0.005187658	0	0.041906371	0	0.005593689	0.116488137	0.259812953	0	0.036188776	0.156651719	0	0	0.023671245	0.029	0.305447456	0.953542036
J23N	NL	0.083431897	0	0.016681732	0.000774545	0.095532923	0.098068377	0	0	0	0	0.058486621	0.012426949	0	0.202230243	0.096243798	0.092216204	0	0	0.209549551	0	0	0.034357159	0.032	0.300476099	0.953482095
J24H	AAH	0.045095225	0	0.094226206	0.045100335	0.053842277	0.098070271	0	0	0	0	0.043997054	0.030497026	0	0.167476834	0.068639259	0.125790136	0	0	0.198528986	0	0	0.02873639	0.003	0.46290141	0.895724377
J24N	NL	0.040596012	0	0.029252495	0.052038821	0.072215082	0.116533726	0	0	0	0	0.07271865	0.025125098	0.03329883	0.235296728	0.056703794	0.100935835	0	0	0.142443062	0	0	0.022841867	0.006	0.411015297	0.913068445
J25S	AIS	0.159252337	0.025223021	0.18364776	0.048763073	0.029646735	0.056694063	0	0.019537805	0	0.039841759	0	0.009591169	0	0.037764668	0.070021225	0.26458796	0	0	0.055063981	0	0	0.000364444	0.018	0.356803034	0.933031424
J25N	NL	0	0	0.00296794	0.084400958	0.017092622	0.083516838	0.000330293	0	0	0.035304157	0.119872805	0.005284608	0	0.255392757	0.037639722	0.079829814	0	0.030857184	0.217986151	0	0	0.029524152	0.01	0.383042723	0.921807167
J26M	MIA	0.133442492	0	0.024694637	0.071509695	0	0.080223169	0	0.028621446	0	0	0.007547151	0.038920284	0	0.252165138	0.030794252	0.135187777	0	0.004180092	0	0.156039658	0	0.03667421	0.007	0.399060586	0.915474062
J26N	NL	0.071714513	0	0.007175684	0.15607901	0.062702944	0	0	0	0	0	0.075633088	0.058370057	0.00058693	0.245980735	0.009240186	0.123661329	0	0.01048947	0.027048996	0.099962544	0.012412456	0.038942059	0.013	0.372150395	0.926442285
J27H1	AAH	0.109470747	0	0.04253522	0.040824392	0.020528493	0.091766013	0	0	0	0	0	0.035409375	0	0.026553756	0.022082068	0.263404532	0	0.014527261	0.314485622	0	0	0.018412521	0.017	0.36030168	0.932304327
J27H2	AAH	0.107508044	0	0.098876118	0.030856997	0.006673609	0.097205621	0	0	0	0.004280014	0	0.043033655	0	0.067174224	0.019336172	0.223565767	0	0.029134333	0.240832157	0	0	0.031523287	0.005	0.428568948	0.909624087
J27S	AIS	0.103341507	0	0.102283631	0.015896798	0	0.128254953	0	0	0	0	0	0.055294341	0	0.086454773	0.008414465	0.262010989	0	0	0.218122851	0	0	0.019925691	0.008	0.397295253	0.92139961
J27M	MIA	0.091713668	0	0.072101203	0.037040243	0	0.075810144	0	0	0	0	0	0.017130782	0	0.060177221	0.011369731	0.371215347	0	0.00620951	0.22725624	0.011008882	0	0.018967029	0.003	0.479216243	0.890584779
J27N	NL	0.053836839	0	0.040174954	0.047360399	0.013580932	0.142357881	0	0	0	0	0.048721624	0.045038278	0	0.105144043	0.033682446	0.194166162	0	0.033687975	0.196445141	0	0	0.045803325	0.009	0.389130728	0.920622864
J30H	AAH	0.055241154	0	0.034029332	0.044200884	0	0.138561303	0	0	0	0.010821633	0	0.018913613	0	0.303693542	0.073049607	0.21546322	0	0	0.094500168	0	0	0.011525543	0.006	0.404666003	0.919814655
J30N	NL	0.079464726	0	0.011684874	0.031117917	0	0.191762731	0	0	0	0	0	0.040982913	0	0.263932807	0.064551029	0.193588906	0	0.003475986	0.100691735	0	0	0.018746375	0.01	0.382469454	0.9249215
J31S	AIS	0.048073223	0	0	0.005285299	0	0.049751813	0	0	0.0020543	0	0.006814153	0	0	0.368324402	0.01629898	0.14695558	0	0	0.085246885	0.087173018	0	0.184022347	0.012	0.378457593	0.929997783
J31N	NL	0.072565645	0	0.036841082	0.034703675	0.01374623	0.03936212	0	0	0	0.002259596	0.018011432	0	0	0.457961698	0.014991918	0.11855524	0	0	0.096639052	0.058541949	0	0.035820364	0.022	0.328922264	0.949595959
J32H	AAH	0.070422003	0	0.057219139	0.069360446	0.009986369	0	0.001754124	0	0	0	0.016357066	0	0	0.357297799	0.003660576	0.211637153	0	0	0.146774444	0.007731025	0.030685271	0.017114584	0.009	0.389607523	0.934467371
J32M	MIA	0.068248278	0	0.01816101	0.061319078	0.021244705	0.087167666	0.003887955	0	0.003665704	0	0.022408868	0	0	0.299395802	0.013622689	0.249679923	0	0	0.074075963	0.027033931	0.031734215	0.018354214	0.021	0.339598793	0.943581345
J32N	NL	0.067029929	0	0.006458401	0.016418132	0.023091646	0.021839698	0	0	0	0	0.03107084	0	0	0.480667366	0.014898443	0.099864909	0	0.00248586	0.048413843	0.079591884	0	0.108169049	0.028	0.310543325	0.953604277
J33M	MIA	0.075656038	0	0.07116223	0.041222615	0	0.185629653	0	0	0	0	0	0.043131923	0	0.034183122	0.063529024	0.240350877	0	0.012249636	0.232884882	0	0	0	0.003	0.488797521	0.880886795
J33N	NL	0.072797895	0	0.015715557	0.101674396	0	0.17080948	0	0	0	0	0.088012939	0.014960054	0.011106886	0.172230024	0.051101066	0.108396639	0	0	0.162243095	0	0	0.030951971	0.006	0.405861481	0.912451006
J34M	MIA	0.107408367	0	0.024502622	0.028070035	0.001719703	0.051055591	0	0	0	0.00169683	0	0.027894764	0	0.253889545	0.015744202	0.309891799	0	0.006998055	0	0.145301882	0	0.025826605	0.002	0.511463149	0.873054607
J34N	NL	0.037819585	0	0.016245058	0.009422475	0.019503372	0.086394906	0	0	0	0	0.051464691	0.005302793	0	0.410237768	0.011653349	0.104816529	0	0.011804447	0.089316352	0.101764418	0	0.044254259	0.002	0.49844028	0.888324158
J35M	MIA	0.074109083	0	0.034173126	0.016527758	0	0.188663324	0	0	0	3.93E-05	0.00624585	0.01730489	0	0.214773383	0.053858724	0.200911397	0	0	0.176173068	0	0	0.017220132	0.048	0.274204142	0.96208475
J35N	NL	0.042467283	0	0	0	0.035751263	0.281151347	0	0	0	0.012647913	0	0.078880707	0	0.103931999	0.083367737	0.194474421	0	0.003217199	0.144234384	0	0	0.019875747	0.048	0.274816293	0.967381786
J36S	AIS	0.062410946	0	0.125416637	0.001828129	0.036664165	0.033575596	0	0	0	0.028724194	0	0.021245329	0	0.379083182	0.019829484	0.216148823	0	0.002890814	0.038426348	0	0	0.033756352	0.023	0.322494481	0.953242998
J36N	NL	0.077147887	0	0.017541413	0.074020444	0	0.133978775	0	0	0	0.056391463	0.007274611	0.041347063	0	0.063134966	0.021341858	0.253944079	0	0.096274722	0.063090976	0.017379089	0	0.077132654	0.012	0.376667899	0.923915222
J38H	AAH	0.033972958	0	0.065158439	0.051760776	0.094542588	0.02389507	0	0	0	0	0.059291863	0.055996763	0	0.193194648	0.04978618	0.14645736	0	0	0.199862967	0	0	0.026080388	0.005	0.42798141	0.907051559
J38S	AIS	0.050367185	0	0.152725329	0.059638162	0.028613536	0.079264943	0	0	0	0.02313067	0	0.05503422	0	0.013688733	0.081081671	0.201357354	0	0	0.255098196	0	0	0	0.002	0.50622969	0.872668888
J38N	NL	0.010488479	0	0.070202547	0.041142381	0.158673745	0.041543068	0	0	0	0.059128947	0.090136447	0.035156377	0	0	0.060903729	0.308291454	0	0	0	0.101120022	0	0.023212806	0.029	0.305698572	0.958184434
J39M	MIA	0.032955497	0	0.012296927	0.010941107	0.003926517	0.101610315	0	0	0	0	0	0.044937282	0	0.093970878	0.001505327	0.357232703	0.008732938	0.006348127	0.292577621	0	0	0.032964761	0	0.613505481	0.831040029
J39N	NL	0.037633796	0	0.054135658	0	0.139097376	0	0.001578116	0	0	0.078967314	0	0.031889618	0	0.244474134	0.000562149	0.200453316	0	0.013589729	0.160486524	0.010603538	0	0.026528731	0.004	0.444054687	0.908659146
J40S	AIS	0.116569377	0	0.055874775	0.016706224	0.011526629	0.136565645	0	0	0	0.011272581	0	0.030302198	0	0.147870205	0.049346407	0.358453842	0	0	0.039837473	0.016444309	0	0.009230336	0.02	0.34057764	0.939244217
J40M	MIA	0.097747601	0	0.035942306	0	0.055140738	0.070696693	0	0.037860139	0	0.075034338	0	0.023441263	0	0.112483588	0.132565311	0.2243618	0.008180524	0	0.048663696	0.052374969	0	0.025507034	0.041	0.288247062	0.960774225
J40N	NL	0.049395387	0	0	0.025673067	0.064175748	0.184817347	0	0	0	0.049598172	0.053017889	0.015831038	0	0.115180319	0.068295468	0.305792708	0	0	0.015182614	0.040565555	0	0.012474688	0.028	0.308829827	0.951969762
J41M	MIA	0.10067524	0	0.08447523	0.035348057	0	0.117549396	0	0	0.004473337	0	0	0.055554215	0	0.030616172	0.009685083	0.217985344	0.05015592	0.015835238	0.265704631	0.001984619	0	0.009957517	0	0.556600195	0.858366773
J41N	NL	0.100094969	0	0.015533414	0.010021895	0.009216444	0.1536695	0.010942523	0	0	0.011628003	0	0.042463371	0	0.276607722	0.009214799	0.167645998	0	0	0.11893452	0.024403601	0	0.04962324	0.016	0.369731502	0.931821746
J42S	AIS	0.036346668	0	0.002928356	0.033664722	0.020596546	0.108209807	0	0	0	0.004231768	0	0.090667903	0	0.158298732	0.018374524	0.168533988	0.02365222	0	0.298507149	0	0	0.035987618	0.01	0.385530801	0.922034707
J42N	NL	0.115354824	0	0.024864602	0.022050314	0.069313515	0.160532146	0	0	0	0	0.091814406	0.024500782	0	0.081548407	0.060914553	0.156355686	0	0	0.155094063	0.006473865	0	0.031182836	0.02	0.347643001	0.935611161
J43S	AIS	0.052344129	0	0	0.081364508	0	0.11336877	0	0	0	0	0	0.100934451	0	0.162337802	0.079425454	0.172819597	0.005621148	0	0.223195616	0	0	0.008588525	0.003	0.486909914	0.876889274
J43M	MIA	0.126272652	0	0.085867334	0.069096996	0	0.055230146	0	0	0.002644065	0.00889831	0	0.072300205	0	0.063918469	0.085199044	0.278305992	0	0	0.142354166	0	0	0.009912622	0.003	0.486419692	0.881170947
J43N	NL	0.084907241	0	0.00350915	0.063403871	0	0.071075463	0	0	0	0	0.003487825	0.076888739	0	0.298796505	0.036643751	0.109551648	0	0	0.126174536	0.09215848	0	0.033402793	0	0.569753945	0.844876658
J44M	MIA	0	0.102728457	0.084843415	0	0.042118962	0.103909517	0	0	0.0019627	0.028502698	0	0.031616211	0	0.107801382	0.027258754	0.32327718	0	0.001213583	0.109249855	0.027213735	0	0.00830355	0.021	0.339070056	0.941019915
J44N	NL	0.065789324	0	0.020518353	0.015857091	0.033963333	0.095400503	0	0	0	0	0.038423195	0.018997511	0	0.208148892	0.048238968	0.277991519	0	0.009997327	0.145590753	0.002193534	0	0.018889696	0.01	0.387792651	0.924981774
J45M	MIA	0.061615051	0	0	0.018362538	0.014144592	0.19165537	0	0.056712954	0	0.05013606	0	0.048715538	0	0.064817229	0.140524362	0.225517768	0.026211559	0	0.043948962	0.031911338	0	0.02572668	0.017	0.360363638	0.933449872
J45N	NL	0.13228474	0	0.039270129	0.081724039	0	0.155845901	0	0	0	0	0.006567446	0.044826912	0	0.090485819	0.082743075	0.27452178	0	0	0	0.081386887	0	0.010343273	0.029	0.305600372	0.953157509
J46M	MIA	0.056305079	0	0	0.064041722	0	0.207212325	0	0	0.035807475	0	0	0.088304878	0	0.032346686	0.06353306	0.261189479	0	0.013661855	0.093453695	0.012670272	0	0.071473474	0.023	0.325197268	0.946006021
J46N	NL	0.084116965	0	0.012239835	0	0.027265706	0.111592066	0	0	0	0	0.076034057	0	0	0.260479073	0.020157436	0.093066345	0	0.017649261	0.06509273	0.108687631	0	0.123618895	0.003	0.477982182	0.8890448
