Mixture	Group	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_(Tregs)	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
018-AAH	AAH	0	0.037020872	0	0.192714472	0	0.021606931	0	0.032465342	0.008730627	0	0	0.145944588	0.048877165	0	0.034940647	0.258142735	0.114989123	0	0.096494835	0	0	0.008072663	0.015	0.253794674	0.986237848
020-AAH	AAH	0.138434109	0	0	0.220145758	0	0.031828226	0.006367465	0.034605099	0	0	0.023089991	0	0.034209644	0	0	0.38141373	0	0.055099264	0.058969527	0	0	0.015837188	0.046	0.170260808	1.017317091
022-AAH	AAH	0.040941562	0	0.022520769	0.122956059	0	0.262527938	0	0.010914939	0	0	0	0.078618544	0.048549611	0.003776322	0.022147783	0.219992451	0	0.026548929	0.131852615	0	0	0.008652477	0.221	0.077539898	1.053769898
001-LUAD	LUAD	0.024603452	0.034581632	0	0.214227255	0	0	0	0.104191219	0.019363484	0	0	0.115164736	0.032214119	0.015172879	0.025587317	0.35033866	0	0.053935317	0.010165566	0.000454363	0	0	0.126	0.108663722	1.056560846
002-LUAD	LUAD	0.031083371	0	0.010888132	0.144788744	0	0.209698539	0	0.010426696	0	0	0	0.032172259	0.02769041	0.083502014	0.02906192	0.252727846	0.011818124	0.034571044	0.120109815	0	0	0.001461088	0.071	0.144946661	1.025163316
003-LUAD	LUAD	0.009130572	0.02274884	0	0.160378653	0	0	0	0.086232023	0.021577701	0	0	0.069376889	0.022401379	0	0.03702191	0.464164703	0.020887565	0.030181594	0.044212559	0	0	0.011685613	0.129	0.107233557	1.054524323
004-LUAD	LUAD	0.009504148	0	0.004166545	0.06527568	0	0.314503225	0	0	0	0	0	0.052173254	0.087364564	0	0.011049441	0.203128652	0.06978642	0.058891634	0.124156438	0	0	0	0.084	0.133515383	1.027040787
005-LUAD	LUAD	0.015940952	0	0	0.109355892	0	0.001203042	0	0.041453693	0.033291453	0	0	0.10132867	0.045841403	0.017000557	0.030346711	0.379587635	0.029732107	0.055927081	0.127438542	0.011552264	0	0	0.103	0.120499042	1.042947951
006-LUAD	LUAD	0.005321967	0	0.007060965	0.11659955	0	0.165212215	0	0	0	0	0.003806511	0.029235486	0.061526895	0.089198069	0.021134923	0.3124455	0	0.024461112	0.163996805	0	0	0	0.02	0.239709583	0.987674939
007-LUAD	LUAD	0	0.021403328	0	0.173379613	0	0.017796223	0	0.116556447	0.017367216	0	0	0.123085521	0.002425328	0.016622017	0.043828656	0.346561847	0.063223793	0.014054267	0.041453989	0	0	0.002241754	0.051	0.162734851	1.030697953
008-LUAD	LUAD	0.015923515	0	0.002222179	0.152795179	0	0.14968529	0	0.009819071	0	0	0	0.042149008	0.117470043	0.053458941	0.010161368	0.246040899	0.002056882	0	0.181328445	0	0	0.016889181	0.038	0.186877006	1.008021746
009-LUAD	LUAD	0.043787695	0	0.001330357	0.202225513	0	0.304003205	0	0.045378901	0	0	0	0.027294574	0.002266089	0.068408012	0.103171393	0.06675033	0.005462303	0.04517445	0.084747178	0	0	0	0.025	0.224120055	1.008552948
010-LUAD	LUAD	0.029243556	0	0	0.30228933	0	0	0	0.059363037	0.018863171	0	0	0.084254393	0.012360804	0.084892599	0.071681108	0.305772701	0.012328815	0	0.015709484	0.003241002	0	0	0.025	0.224939137	1.007762636
014-LUAD	LUAD	0.004247019	0.002125759	0	0.231933498	0	0.277790399	0.003124636	0	0	0	0.021290464	0	0.014374249	0	0.088539415	0.272318878	0.004233146	0	0.080022538	0	0	0	0.101	0.121949719	1.050691119
016-LUAD	LUAD	0.072415793	0	0	0.104618904	0	0.075079	0	0.07885948	0.068833239	0	0	0.143061943	0.020148305	0.121469733	0.108871789	0.163916939	0	0.001213493	0.041511383	0	0	0	0.123	0.111490839	1.058123467
017-LUAD	LUAD	0.01129823	0	0.020131076	0.16064646	0	0.019933038	0	0.038224858	0.010306745	0	0	0.171928908	0.035660185	0.02946206	0.137728392	0.231341077	0.020753538	0	0	0.112585432	0	0	0.009	0.299877848	0.982892895
018-LUAD	LUAD	0	0	0.000536508	0.092389402	0	0.123407208	0	0.039594395	0.004882695	0	0	0.112948866	0.002208743	0	0.075950789	0.321326461	0.089677405	0.018264777	0.118812749	0	0	0	0.057	0.157111514	1.027325638
020-LUAD	LUAD	0.01684559	0.022147033	0	0.14504477	0	0.165805879	0	0.034318895	0	0	0	0.032720178	0.019958256	0	0	0.328150385	0	0.155672201	0.078910673	0	0	0.00042614	0.134	0.104517329	1.045741976
022-LUAD	LUAD	0.020865641	0	0.007638186	0.132184134	0	0.271574505	0	0.045264765	0	0	0	0.020894976	0.09338972	0	0.001317387	0.203703428	0	0.055213433	0	0.128519005	0	0.01943482	0.169	0.090492642	1.053761235
